panel,run,case,implementation,s1,s2,s3,s4,alpha,p00,p01,p10,p11,theory_u1,theory_u2,measured_u1,measured_u2,common_payoff,payoff_asymmetry,squared_distance_to_theory
A,33,"Case 1a (BoS), pure",pure,0.25,0.6,1.0,0.0,pi/4,0.0087890625,0.44921875,0.533203125,0.0087890625,0.8,0.8,0.804931640625,0.7713378906249999,0.788134765625,0.03359375000000009,0.0008458375930786204
A,34,"Case 1a (BoS), pure",pure,0.25,0.6,1.0,0.0,pi/4,0.0078125,0.494140625,0.4912109375,0.0068359375,0.8,0.8,0.7896484374999999,0.7908203125,0.7902343749999999,-0.0011718750000000444,0.0001914215087890669
A,35,"Case 1a (BoS), pure",pure,0.25,0.6,1.0,0.0,pi/4,0.005859375,0.498046875,0.4892578125,0.0068359375,0.8,0.8,0.78955078125,0.7930664062499999,0.79130859375,-0.003515624999999911,0.0001572608947753934
A,36,"Case 1a (BoS), pure",pure,0.25,0.6,1.0,0.0,pi/4,0.0087890625,0.5068359375,0.4765625,0.0078125,0.8,0.8,0.782861328125,0.794970703125,0.7889160156249999,-0.012109374999999978,0.00031902790069580396
A,37,"Case 1a (BoS), pure",pure,0.25,0.6,1.0,0.0,pi/4,0.0107421875,0.4970703125,0.48046875,0.01171875,0.8,0.8,0.781396484375,0.788037109375,0.784716796875,-0.006640625000000067,0.0004892015457153346
A,38,"Case 1a (BoS), pure",pure,0.25,0.6,1.0,0.0,pi/4,0.001953125,0.48828125,0.49609375,0.013671875,0.8,0.8,0.78955078125,0.78642578125,0.78798828125,0.0031250000000000444,0.0002934455871582065
A,39,"Case 1a (BoS), pure",pure,0.25,0.6,1.0,0.0,pi/4,0.01171875,0.490234375,0.48828125,0.009765625,0.8,0.8,0.7853515625,0.7861328125,0.7857421875,-0.0007812499999999556,0.00040687561035156373
A,40,"Case 1a (BoS), pure",pure,0.25,0.6,1.0,0.0,pi/4,0.0087890625,0.4873046875,0.4970703125,0.0068359375,0.8,0.8,0.791650390625,0.787744140625,0.789697265625,0.00390625,0.000219922065734866
A,41,"Case 1a (BoS), pure",pure,0.25,0.6,1.0,0.0,pi/4,0.0087890625,0.48046875,0.5048828125,0.005859375,0.8,0.8,0.795361328125,0.785595703125,0.790478515625,0.009765625,0.00022900104522705078
A,42,"Case 1a (BoS), pure",pure,0.25,0.6,1.0,0.0,pi/4,0.005859375,0.5263671875,0.458984375,0.0087890625,0.8,0.8,0.77626953125,0.80322265625,0.78974609375,-0.026953125000000022,0.0005735206604003934
